abakus;abacus;Abakus
abakusový;abacus;Abakus
abatyše;abbess;Äbtissin
abdikace;abdication;Abdankung
abeceda;alphabet;Alphabet
abecední;alphabetical;alphabetisch
aberace;aberration;Abweichung
abnormalita;abnormality;Anomalie
abnormální;abnormal;abnormal
abraze;abrasion;Abrieb
absence;absence;Abwesenheit
absentér;absentee;abwesend
absentérův;absentee;abwesend
absentismus;absenteeism;Fehlzeiten
absolutismus;absolutism;Absolutismus
absolutní;absolute;absolut
abstinence;abstinence;Abstinenz
abstinentní;abstinent;abstinent
abstrakce;abstraction;Abstraktion
abstraktnější;more abstract;abstrakter
abstraktní;abstract;abstrakt
absurdita;absurdity;Absurdität
absurdnější;more absurd;absurder
absurdní;absurd;absurd
acetylén;acetylene;Acetylen
acyklický;acyclic;azyklisch
adaptabilní;adaptable;anpassungsfähig
adaptace;adaptation;Anpassung
adaptační;adaptive;adaptiv
adaptér;adapter;Adapter
adaptivní;adaptive;adaptiv
adekvátnější;more adequate;angemessener
adekvátní;adequate;angemessen
adheze;adhesion;Adhäsion
adhezní;adhesive;Klebstoff
adiabatický;adiabatic;adiabat
aditivní;additive;Zusatzstoff
adjektivní;adjective;Adjektiv
adjektivum;adjective;Adjektiv
adjunkt;adjunct;Zusatz
adjunktův;adjunct;Zusatz
administrativa;administration;Verwaltung
administrativnější;more administrative;eher administrativ
administrativní;administrative;administrativ
administrátor;administrator;Administrator
administrátorův;administrators;Administratoren
admiralita;admiralty;Admiralität
admirál;admiral;Admiral
admirálský;admiral;Admiral
admirálův;Admiral's;Admirals
adoptivní;adoptive;adoptiv
adresář;address book;Adressbuch
adresátův;addressees;Adressaten
adresátka;addressee;Adressat
adresátčin;addressees;Adressaten
adresa;address;die Anschrift
adresový;address;die Anschrift
advokacie;advocacy;Interessenvertretung
aerobní;aerobic;aerob
aerolinie;airline;Fluggesellschaft
aeroplán;airplane;Flugzeug
aféra;affair;Affäre
afinita;affinity;Affinität
sufix;suffix;Suffix
sufixový;suffix;Suffix
aforismus;aphorism;Aphorismus
aforistický;aphoristic;aphoristisch
afrikáta;affricate;affrikieren
agentura;agency;Agentur
agenturní;agency;Agentur
agilnější;more agile;agiler
agilní;agile;agil
agitace;agitation;Agitation
agitační;agitation;Agitation
agitátor;agitator;Agitator
agitátorův;agitator's;Rührwerk
aglomerace;agglomeration;Agglomeration
agónie;agony;Agonie
agrární;agrarian;landwirtschaftlich
agregace;aggregation;Anhäufung
agrese;aggression;Aggression
agresivnější;more aggressive;aggressiver
agresivní;aggressive;aggressiv
agresor;aggressor;Aggressor
agresorův;aggressor;Aggressor
agronomický;agronomic;agronomisch
agronomie;agronomy;Agronomie
agronom;agronomist;Agronom
agronomův;agronomist;Agronom
achromatický;achromatic;achromatisch
akácie;acacia;Akazie
akademický;academic;akademisch
akademie;academy;Akademie
akademik;academician;Akademiemitglied
akademikův;academic;akademisch
akcelerace;acceleration;Beschleunigung
akcentovanější;more accentuated;akzentuierter
akceptace;acceptance;Annahme
akce;action;Handlung
akcie;stocks;Bestände
akčnější;more action;mehr Aktion
akcionář;shareholder;Aktionär
akcionářův;shareholders;Aktionäre
akcionářka;shareholder;Aktionär
akcionářčin;shareholder;Aktionär
akciový;stock;Aktie
akční;action;Handlung
aklimatizace;acclimatization;Akklimatisierung
akomodace;accommodation;Unterkunft
akord;chord;Akkord
akordový;chord;Akkord
akr;acre;Acre
akrobacie;acrobatics;Akrobatik
akrobatický;acrobatic;akrobatisch
aktivátor;activator;Aktivator
aktivista;activist;Aktivist
aktivistův;activists;Aktivisten
aktivita;activity;Aktivität
aktivnější;more active;aktiver
aktivní;active;aktiv
aktivum;asset;Anlage
aktualita;news;Nachrichten
aktualizace;update;aktualisieren
aktualizovanější;more updated;mehr aktualisiert
aktuálnější;more current;aktueller
aktuální;current;aktuell
akumulace;accumulation;Akkumulation
akumulátor;battery;Batterie
akumulátorový;rechargeable;wiederaufladbar
akustický;acoustic;akustisch
akustika;acoustics;Akustik
akutní;acute;akut
akvamarín;aquamarine;Aquamarin
akvamarínový;aquamarine;Aquamarin
akvarel;watercolor;Aquarell
akvárium;aquarium;Aquarium
delfinárium;dolphinarium;Delfinarium
alabastrový;alabaster;Alabaster
albatros;albatross;Albatros
albatrosův;albatross;Albatros
album;album;Album
album;album;Album
aldehyd;aldehyde;Aldehyd
alegorický;allegorical;allegorisch
alegorie;allegory;Allegorie
alej;alley;Gasse
alfanumerický;alphanumeric;alphanumerisch
alfa;alpha;Alpha
algebraický;algebraic;algebraisch
algebra;algebra;Algebra
algoritmický;algorithmic;algorithmisch
algoritmus;algorithm;Algorithmus
alchymie;alchemy;Alchimie
alchymista;alchemist;Alchimist
aliance;alliance;Allianz
alias;alias;alias
aligátor;alligator;Alligator
aligátorův;alligator;Alligator
aljašský;Alaskan;Alaskan
alkalický;alkaline;alkalisch
alkohol;alcohol;Alkohol
alkoholický;alcoholic;Alkoholiker
alkoholik;alcoholic;Alkoholiker
alkoholikův;alcoholic;Alkoholiker
alkoholový;alcoholic;Alkoholiker
almanach;almanac;Almanach
almužna;alms;Almosen
almužnický;alms;Almosen
aloe;aloe;Aloe
alokace;allocation;Zuweisung
alpa;alpa;Alpha
alpínský;alpine;alpin
alternativa;alternative;Alternative
alternativní;alternative;Alternative
alternátor;alternator;Generator
alternující;alternating;abwechselnd
altruista;altruist;Altruist
altruistův;altruist;Altruist
alžbětinský;Elizabethan;elisabethanisch
amalgám;amalgam;Amalgam
amatér;amateur;Amateur
amatérův;amateurs;Amateure
amatérka;amateur;Amateur
amatérčin;amateur;Amateur
amatérství;amateurism;Dilettantismus
amatérismus;amateurism;Dilettantismus
amatérský;amateurish;amateurhaft
pseudoamatérský;pseudo-amateur;Pseudo-Amateur
amatérštější;more amateurish;eher amateurhaft
ambaláž;ambalage;amlage
ambice;ambition;Ehrgeiz
ambrózie;ambrosia;Ambrosia
ambróziový;ragweed;Ragweed
ambulance;ambulance;Ambulanz
ambulantní;ambulatory;ambulant
amfiteatr;amphitheater;Amphitheater
amnestie;amnesty;Amnestie
amorfní;amorphous;amorph
amortizace;amortization;Amortisation
ampér;ampere;Ampere
wattmetr;wattmeter;Wattmeter
amplion;loud-speaker;Lautsprecher
amplituda;amplitude;Amplitude
ampulka;vial;Phiole
amputace;amputation;Amputation
anachronismus;anachronism;Anachronismus
anakonda;anaconda;Anakonda
anální;anal;anal
analogický;analogous;analog
analogie;analogy;Analogie
analogový;analog;analog
analytický;analytic;analytisch
analytika;analytics;Analytik
analytik;analyst;Analytiker
analytikův;analyst;Analytiker
analyzátor;analyzer;Analysator
analýza;analysis;Analyse
anamnéza;anamnesis;Anamnese
ananas;pineapple;Ananas
ananasový;pineapple;Ananas
anarchie;anarchy;Anarchie
anarchismus;anarchism;Anarchismus
anarchista;anarchist;Anarchist
anarchistický;anarchist;Anarchist
anatomický;anatomical;anatomisch
anatom;anatomist;Anatom
anatomův;anatomist;Anatom
anatonomie;anatomy;Anatomie
andělíček;little angel;kleiner Engel
andělíčkův;andělíčkův;andělíčkův
anděl;angel;Engel
andělský;angelic;engelhaft
andělův;of the angel;des Engels
andílek;little angel;kleiner Engel
andílkův;andílkův;andílkův
anekdota;anecdote;Anekdote
anekdotický;anecdotic;anekdotisch
anestetikum;anesthetic;Narkose
anestezie;anesthesia;Anästhesie
anesteziolog;anesthetist;Anästhesist
anesteziologův;anesthesiologist;Anästhesist
anexe;annexation;Annexion
angažovanější;more engaged;engagierter
angína;angina;Angina
anglikán;Anglican;anglikanisch
anglikánský;Anglican;anglikanisch
anglikánův;Anglican;anglikanisch
anglofil;Anglophile;Anglophil
anglofilův;Anglophile;Anglophil
anilín;aniline;Anilin
anilínový;aniline;Anilin
anion;anion;Anion
oktoda;octode;Oktode
anodový;anode;Anode
anomálie;anomaly;Anomalie
anomální;anomalous;anomal
anonymita;anonymity;Anonymität
anonymnější;more anonymous;anonymer
anonymní;anonymous;anonym
anonym;anonym;anonym
anotace;annotation;Anmerkung
antagonismus;antagonism;Antagonismus
antagonista;antagonist;Gegner
antagonistický;antagonistic;antagonistisch
anténa;antenna;Antenne
antibiotický;antibiotic;Antibiotikum
antibiotikum;antibiotic;Antibiotikum
anticipace;anticipation;Vorwegnahme
antický;antique;Antiquität
antika;antiquity;Antike
antikomunista;anti-communist;antikommunistisch
antikomunistův;anti-communist;antikommunistisch
antikoncepce;contraception;Empfängnisverhütung
antikorozívní;anticorrosive;Korrosionsschutz
antikorozní;anticorrosive;Korrosionsschutz
antikvární;secondhand;gebraucht
antikva;antique;Antiquität
antilopa;antelope;Antilope
antipatie;antipathy;Antipathie
antisemita;anti-Semitic;antisemitisch
antisemitismus;anti-Semitism;Antisemitismus
antisemitský;anti-Semitic;antisemitisch
antisemitův;anti-Semitic;antisemitisch
antiseptický;antiseptic;Antiseptikum
antiseptikum;antiseptic;Antiseptikum
antisocialista;antisocialist;antisozialistisch
antisocialistův;antisocialists;Antisozialisten
antistatický;antistatic;antistatisch
antologie;anthology;Anthologie
antropofág;anthropophagous;anthropophag
antropofágův;anthropophagous;anthropophag
antropoidní;anthropoid;Anthropoid
antropologický;anthropological;anthropologisch
antropologie;anthropology;Anthropologie
antropolog;anthropologist;Anthropologe
anýz;anise;Anis
aorta;aorta;Aorta
apanáž;apanage;apanage
aparátník;apparatus;Gerät
apartheid;apartheid;Apartheid
apatický;apathetic;apathisch
apatie;apathy;Apathie
apelační;appellation;Bezeichnung
apel;appeal;appellieren
aperitiv;aperitif;Aperitif
aplikace;application;Anwendung
aplikovanější;more applied;mehr angewandt
apokalypsa;apocalypse;Apokalypse
apokalyptický;apocalyptic;apokalyptisch
apokalyptičtější;more apocalyptic;eher apokalyptisch
apokryfa;apocrypha;Apokryphen
apokryf;apocryphal;apokryph
apokryfní;apocryphal;apokryph
apostrof;apostrophe;Apostroph
apoštol;apostle;Apostel
apoštolův;the apostles;die Apostel
apoštolský;apostolic;apostolisch
aproximace;approximation;Annäherung
arabeska;arabesque;Arabeske
aranžér;arranger;Arrangeur
aranžérův;arranger;Arrangeur
jáhnův;deacon's;Diakon
jáhenství;deaconry;Diakonie
vévoda;duke;Herzog
vévodkyně;duchess;Herzogin
vévodství;duchy;Herzogtum
aréna;arena;Arena
aretace;arrest;Festnahme
argumentace;argumentation;Argumentation
ar;ar;ar
archaický;archaic;archaisch
archaismus;archaism;Archaismus
archaistický;archaist;Archaist
archa;ark;Arche
archeologický;archaeological;archäologisch
archeologie;archeology;Archäologie
archeolog;archaeologist;Archäologe
