abakus;abacus;Abakus
abdikace;abdication;Abdankung
abdukce;abduction;Entführung
abeceda;alphabet;Alphabet
aberace;aberration;Abweichung
aberdeen;aberdeen;Aberdeen
abertamy;abertamy;abertamy
abhomotopie;abhomotopie;abhomotopie
abidjan;abidjan;abidjan
abiturientka;graduate;Absolvent
ablace;ablation;Abtragung
ablativ;ablative;Ablativ
abnormalita;abnormality;Anomalie
abnormita;abnormality;Anomalie
abolice;abolition;Abschaffung
abolicionistka;abolitionist;Abolitionist
abonentka;subscriber;Teilnehmer
abraze;abrasion;Abrieb
abreviace;abbreviation;Abkürzung
absces;abscess;Abszess
absence;absence;Abwesenheit
absint;absinthe;Absinth
absinth;absinthe;Absinth
absolutistka;absolutist;Absolutist
absolutiv;absolutiv;absolutiv
absolutizace;absolutization;Verabsolutierung
absolventka;graduate;Absolvent
absorbent;absorbent;saugfähig
absorpce;absorption;Absorption
absorptivita;absorptivity;Absorptionsfähigkeit
abstence;abstention;Enthaltung
abstinence;abstinence;Abstinenz
abstinentka;abstinent;abstinent
abstrakce;abstraction;Abstraktion
abstrakt;abstract;abstrakt
absurdita;absurdity;Absurdität
academia;academia;Akademie
acesulfam;acesulfame;Acesulfam
acetaldehyd;acetaldehyde;Acetaldehyd
acetal;acetal;Acetal
acetamid;acetamide;Acetamid
acetanhydrid;acetic anhydride;Essigsäureanhydrid
aceton;acetone;Aceton
acetonchlorid;acetone chloride;Acetonchlorid
acetonitril;acetonitrile;Acetonitril
acetonsulfit;acetone sulfite;Acetonsulfit
acetylen;acetylene;Acetylen
acetyl;acetyl;Acetyl
acetylchlorid;acetyl chloride;Acetylchlorid
acetylcholin;acetylcholine;Acetylcholin
acetylperoxyd;acetyl peroxide;Acetylperoxid
acidifikace;acidification;Versauerung
acidita;acidity;Säure
acidotechna;acidotechnics;Acidotechnik
aconcagua;aconcagua;Aconcagua
acylpirin;acylpirine;Acylpirin
acylpyrin;acylpyrine;Acylpyrin
adamant;adamant;unnachgiebig
adamstown;adamstown;Adamsstadt
adaptabilita;adaptability;Anpassungsfähigkeit
adaptace;adaptation;Anpassung
adekvace;adequacy;Angemessenheit
adelaide;adelaide;Adelheid
aden;aden;Aden
adenin;adenine;Adenin
adenosin;adenosine;Adenosin
adenozin;adenosine;Adenosin
adeptka;adept;geschickt
adheze;adhesion;Adhäsion
adhezivita;adhesiveness;Haftfähigkeit
adice;addition;Zusatz
adipan;adipan;adipan
aditivace;additives;Additive
aditivita;additivity;Additivität
adjektivizace;adjectivization;Adjektivierung
adjunkce;adjunction;Zusatz
adjustace;adjustment;Einstellung
administrace;administration;Verwaltung
administrativa;administration;Verwaltung
admiralita;admiralty;Admiralität
adolescence;adolescence;Jugend
adolescentka;adolescent;Jugendlicher
adopce;adoption;Annahme
adorace;adoration;Anbetung
adrenalin;adrenaline;Adrenalin
adresace;addressing;Adressierung
adresa;address;die Anschrift
adriana;adriana;Adriana
adria;adria;Adria
adriena;adriena;Adriana
adrie;adrie;adrie
adsorbent;adsorbent;Adsorptionsmittel
adsorpce;adsorption;Adsorption
adspekce;adaptation;Anpassung
adultologie;adultology;Adultologie
advent;Advent;Advent
adventistka;Adventist;Adventist
advokacie;advocacy;Interessenvertretung
aerace;aeration;Belüftung
aerobik;aerobics;Aerobic
aerodynamika;aerodynamics;Aerodynamik
aerofyt;aerophyte;Aerophyt
aerogel;airgel;Aerogel
aeroklub;aeroclub;Aeroklub
aerolinie;airline;Fluggesellschaft
aerolinka;airline;Fluggesellschaft
aerologie;aerology;Aerologie
aeronautika;aeronautics;Luftfahrt
aeroplankton;aeroplankton;Aeroplankton
aerosol;aerosol;Sprühdose
aerostatika;aerostatics;Aerostatik
aerovlek;air tow;Luftschlepp
aesculetin;aesculetin;Äsculetin
afaziologie;aphasiology;Aphasiologie
afekce;affect;beeinflussen
afekt;affect;beeinflussen
afektivita;affectivity;Affektivität
afentace;affentation;Beleidigung
afganistan;Afghanistan;Afghanistan
afilace;affiliation;Zugehörigkeit
afinita;affinity;Affinität
afirmace;affirmation;Bejahung
afix;affix;Affix
afonie;afonie;afonie
aforistka;aphorist;Aphorist
afrikanistika;African studies;Afrikastudien
afrikanistka;Africanist;Afrikaner
afrika;Africa;Afrika
afrocentristka;afrocentrist;Afrozentrist
afrodita;aphrodite;Aphrodite
aft;aft;achtern
agama;agama;Agama
agar;agar;Agar
agatha;agatha;agatha
agenda;agenda;Agenda
agentiv;agent;Agent
agentka;agent;Agent
agentomanie;agentomania;Agentomanie
agentura;agency;Agentur
agfa;agfa;Agfa
agilita;agility;Beweglichkeit
agitace;agitation;Agitation
agitka;agitka;agitka
aglomerace;agglomeration;Agglomeration
aglutinace;agglutination;Agglutination
agmatit;agmatite;Agmatit
agogika;agogika;Agika
agonie;agony;Agonie
agonistka;agonist;Agonist
agorafobie;agoraphobia;Agoraphobie
agraciace;agriculture;Landwirtschaft
agrafa;agrafa;agrafa
agregace;aggregation;Anhäufung
agrese;aggression;Aggression
agresivita;aggressiveness;Aggressivität
agrobiologie;agrobiology;Agrarbiologie
agroekologie;agroecology;Agrarökologie
agrofyzika;agrophysics;Agrophysik
agrochemie;agrochemistry;Agrochemie
agroklimatologie;agroclimatology;Agrarklimatologie
agrokomplex;agro-complex;Agro-Komplex
agrokultura;agroculture;Agrarkultur
agrometeorologie;agrometeorology;Agrarmeteorologie
agronomie;agronomy;Agronomie
agronomka;agronomist;Agronom
agroplast;agroplast;Agroplast
agropodnik;agribusiness;Landwirtschaft
agrostav;agrostav;Agrostaw
agrotechnika;agrotechnics;Agrotechnik
agroturistika;agrotourism;Agrotourismus
agrozet;agrozet;agrozet
achillovka;achillovka;achillovka
achilovka;achilovka;achilovka
achondrit;achondrit;Achondrit
aids;AIDS;AIDS
airbag;airbag;Airbag
airbus;airbus;Airbus
ajatin;ajatin;Ajatin
akademie;academy;Akademie
akcelerace;acceleration;Beschleunigung
akcelerometr;accelerometer;Beschleunigungsmesser
akcentace;accentuation;Akzentuierung
akcent;accent;Akzent
akceptace;acceptance;Annahme
akceptant;acceptor;Akzeptor
akceptor;acceptor;Akzeptor
akce;action;Handlung
akcidence;accidents;Unfälle
akcident;accident;Unfall
akcie;stocks;Bestände
akciovka;stock;Aktie
aklamace;acclamation;Akklamation
aklimatizace;acclimatization;Akklimatisierung
akomodace;accommodation;Unterkunft
akontabilita;accountability;Rechenschaftspflicht
akontace;down payment;Anzahlung
akordeon;accordion;Akkordeon
akordeonistka;accordionist;Akkordeonist
akord;chord;Akkord
akrece;accretion;Akkretion
akreditace;accreditation;Akkreditierung
akreditiv;letter of credit;Akkreditiv
akr;acre;Acre
akridin;acridine;Acridin
akrobacie;acrobatics;Akrobatik
akrobatka;acrobat;Akrobat
akronym;acronym;Akronym
akrostich;acrostic;Akrostichon
akryl;acrylic;Acryl-
akrylonitril;acrylonitrile;Acrylnitril
aksamit;velvet;Samt
aktant;actant;Aktant
akt;act;Handlung
aktinoid;actinoid;Aktinoid
aktivace;activation;Aktivierung
aktivistka;activist;Aktivist
aktivita;activity;Aktivität
aktivizace;activation;Aktivierung
aktovka;briefcase;Aktentasche
aktualita;news;Nachrichten
aktualizace;update;aktualisieren
